epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9685,3.74794,5.35738,4.19954,0.0003,0.10659,0.00018,5e-05,3.3082,4.05149,4.14413,0.000542437,0.000542437,0.000542437
2,64.6146,3.41488,4.97587,3.87662,0.00038,0.13098,0.00193,0.00064,3.40735,4.66286,4.1722,0.00109267,0.00109267,0.00109267
3,80.4193,3.10128,4.63732,3.3546,0.00024,0.0122,0.0004,9e-05,3.60586,4.27659,4.42722,0.0016374,0.0016374,0.0016374
4,96.7525,3.00743,4.51115,3.18792,0.01938,0.0061,0.00079,0.00017,3.09514,5.30682,4.39851,0.00164225,0.00164225,0.00164225
5,113.394,2.95892,4.31205,3.08799,0.0017,0.54707,0.00292,0.00087,2.6506,3.93328,3.21766,0.00163399,0.00163399,0.00163399
6,130.137,2.87081,4.22102,3.00869,0.01167,0.04268,0.00379,0.00113,2.85966,12.9237,3.67795,0.00162574,0.00162574,0.00162574
7,147.478,2.86362,4.08912,2.99461,0.09588,0.10537,0.00998,0.00209,2.70564,5.92659,3.22689,0.00161749,0.00161749,0.00161749
8,164.579,2.81942,3.90166,2.90062,0.02823,0.04,0.02072,0.00562,2.48501,5.06396,2.86878,0.00160924,0.00160924,0.00160924
9,180.781,2.81909,3.92543,2.85343,0.00197,0.74463,0.00536,0.00146,2.72353,3.9778,2.77401,0.00160099,0.00160099,0.00160099
10,196.834,2.7096,3.88355,2.84107,0.56147,0.03049,0.0229,0.00545,2.55728,3.79729,2.90054,0.00159274,0.00159274,0.00159274
11,213.193,2.6736,3.79456,2.74461,0.00255,0.69024,0.01521,0.00387,2.55294,3.5307,2.78161,0.00158448,0.00158448,0.00158448
12,229.685,2.65354,3.76425,2.77201,0.122,0.06268,0.0402,0.01285,2.60661,3.427,2.866,0.00157623,0.00157623,0.00157623
13,246.007,2.62303,3.59488,2.686,0.15963,0.09132,0.04821,0.01541,2.40204,3.3322,2.78648,0.00156798,0.00156798,0.00156798
14,263.318,2.54153,3.62459,2.72508,0.25701,0.10756,0.06718,0.02038,2.40261,3.29574,2.80681,0.00155973,0.00155973,0.00155973
15,280.269,2.5296,3.5963,2.7304,0.14005,0.06268,0.05329,0.02024,2.43616,3.53576,2.83245,0.00155148,0.00155148,0.00155148
16,296.596,2.51259,3.55708,2.6757,0.28061,0.11098,0.08751,0.02435,2.36303,3.26881,2.76914,0.00154323,0.00154323,0.00154323
17,313.276,2.50423,3.51225,2.63638,0.114,0.10659,0.04273,0.01258,2.53251,3.66053,2.85294,0.00153497,0.00153497,0.00153497
18,329.54,2.47747,3.34528,2.60303,0.12959,0.09405,0.0842,0.0274,2.26046,3.13788,2.64835,0.00152672,0.00152672,0.00152672
19,345.81,2.48744,3.44559,2.61433,0.2088,0.18585,0.09111,0.03437,2.23122,3.24069,2.599,0.00151847,0.00151847,0.00151847
20,362.189,2.41414,3.30951,2.54774,0.30689,0.16098,0.11828,0.05654,2.27763,3.49623,2.64865,0.00151022,0.00151022,0.00151022
21,380.093,2.39808,3.39859,2.55908,0.12752,0.09537,0.06272,0.02506,2.32101,3.2974,2.77011,0.00150197,0.00150197,0.00150197
22,396.632,2.36251,3.28698,2.53229,0.27171,0.16098,0.12073,0.04652,2.22228,3.22937,2.70578,0.00149372,0.00149372,0.00149372
23,412.596,2.35158,3.31503,2.56113,0.44961,0.11532,0.11773,0.04762,2.22525,3.68984,2.61881,0.00148546,0.00148546,0.00148546
24,428.703,2.36385,3.18438,2.51284,0.28478,0.17805,0.15721,0.05927,2.15127,2.91856,2.57916,0.00147721,0.00147721,0.00147721
25,445.418,2.26855,3.20245,2.49381,0.31611,0.22607,0.15403,0.06076,2.12546,3.02538,2.55672,0.00146896,0.00146896,0.00146896
26,461.298,2.25554,3.25743,2.45256,0.21883,0.12976,0.14125,0.05209,2.08843,3.07093,2.60862,0.00146071,0.00146071,0.00146071
27,478.799,2.20696,3.10212,2.42858,0.17165,0.25951,0.13148,0.04864,2.10044,3.26827,2.58236,0.00145246,0.00145246,0.00145246
28,495.647,2.25994,3.07691,2.42444,0.25271,0.24454,0.17361,0.0764,2.11291,3.11735,2.62483,0.00144421,0.00144421,0.00144421
29,512.134,2.17376,3.0601,2.39252,0.31149,0.21343,0.20222,0.08166,2.04402,2.87938,2.48478,0.00143595,0.00143595,0.00143595
30,528.302,2.18178,3.02742,2.36115,0.31391,0.23244,0.19328,0.09405,2.01546,2.84676,2.47402,0.0014277,0.0014277,0.0014277
31,544.067,2.17709,3.07252,2.36825,0.21888,0.26805,0.12898,0.05402,2.18129,3.36962,2.67438,0.00141945,0.00141945,0.00141945
32,560.939,2.12584,2.95552,2.33415,0.15513,0.21488,0.09371,0.04338,2.20987,3.20767,2.61778,0.0014112,0.0014112,0.0014112
33,578.306,2.11292,3.06162,2.32527,0.33851,0.27244,0.2179,0.11008,1.97546,2.99023,2.39833,0.00140295,0.00140295,0.00140295
34,594.942,2.08892,2.93841,2.32386,0.36324,0.22276,0.20079,0.09021,1.99155,2.81115,2.44391,0.0013947,0.0013947,0.0013947
35,611.917,2.10646,2.96876,2.33937,0.37337,0.28463,0.22688,0.1088,1.9076,3.01495,2.42666,0.00138644,0.00138644,0.00138644
36,628.012,2.08533,2.90689,2.28011,0.21508,0.25244,0.16844,0.08194,2.02264,3.06525,2.49307,0.00137819,0.00137819,0.00137819
37,643.961,2.08584,2.99608,2.32179,0.35528,0.19854,0.18487,0.08656,1.91699,2.98489,2.36583,0.00136994,0.00136994,0.00136994
38,660.076,2.05701,2.9131,2.2639,0.24417,0.20009,0.15637,0.06857,2.0148,2.82008,2.46482,0.00136169,0.00136169,0.00136169
39,676.576,2.03227,2.89856,2.2483,0.38505,0.29835,0.24431,0.12479,1.82897,2.82352,2.35612,0.00135344,0.00135344,0.00135344
40,694.016,1.96417,2.77064,2.22352,0.35855,0.28918,0.221,0.10908,1.87475,2.76121,2.34067,0.00134519,0.00134519,0.00134519
41,710.601,2.01241,2.86119,2.25185,0.43415,0.27477,0.21688,0.10384,1.93063,2.806,2.44693,0.00133693,0.00133693,0.00133693
42,727.249,2.01438,2.79494,2.24622,0.40354,0.28415,0.24011,0.1337,1.83447,2.67569,2.3539,0.00132868,0.00132868,0.00132868
43,743.448,1.98107,2.79894,2.21267,0.249,0.31976,0.17562,0.08353,1.94906,2.90932,2.44678,0.00132043,0.00132043,0.00132043
44,759.809,1.98827,2.83225,2.22689,0.35364,0.29073,0.25101,0.13232,1.79496,2.64912,2.2828,0.00131218,0.00131218,0.00131218
45,775.948,1.9663,2.76838,2.19412,0.35173,0.31293,0.22467,0.11506,1.91991,2.84268,2.42203,0.00130393,0.00130393,0.00130393
46,792.658,1.91624,2.66976,2.1622,0.39288,0.30122,0.2475,0.13055,1.87709,2.69932,2.35902,0.00129568,0.00129568,0.00129568
47,810.55,2.00314,2.79849,2.16131,0.35858,0.30463,0.20829,0.1059,1.84988,2.80034,2.27188,0.00128742,0.00128742,0.00128742
48,827.011,1.90684,2.7312,2.10055,0.3891,0.28073,0.24872,0.12224,1.80488,2.86618,2.2668,0.00127917,0.00127917,0.00127917
49,843.673,1.91793,2.70288,2.11971,0.33775,0.28005,0.23631,0.12848,1.78336,2.71518,2.26871,0.00127092,0.00127092,0.00127092
50,859.958,1.86849,2.70567,2.0901,0.35794,0.22854,0.23627,0.13032,1.78327,2.69899,2.24107,0.00126267,0.00126267,0.00126267
51,876.419,1.87069,2.68595,2.10574,0.37714,0.33856,0.2516,0.12684,1.84259,2.65287,2.27685,0.00125442,0.00125442,0.00125442
52,892.65,1.87409,2.64683,2.08544,0.32204,0.33732,0.23745,0.12184,1.80342,2.68455,2.27726,0.00124617,0.00124617,0.00124617
53,910.291,1.89084,2.65756,2.15876,0.48058,0.21683,0.21749,0.11787,1.87095,2.83343,2.36316,0.00123791,0.00123791,0.00123791
54,926.835,1.82262,2.69142,2.07823,0.41352,0.38073,0.26459,0.13883,1.83854,2.65527,2.33863,0.00122966,0.00122966,0.00122966
55,943.566,1.79788,2.61596,2.06278,0.52054,0.35683,0.31746,0.1815,1.79674,2.5172,2.27335,0.00122141,0.00122141,0.00122141
56,959.514,1.84655,2.58835,2.10164,0.43489,0.33073,0.28547,0.15812,1.81912,2.61766,2.29742,0.00121316,0.00121316,0.00121316
57,976.33,1.85245,2.59022,2.05911,0.36717,0.34248,0.29857,0.17423,1.73729,2.45007,2.23233,0.00120491,0.00120491,0.00120491
58,992.528,1.84213,2.58272,2.08854,0.35285,0.34341,0.29194,0.1518,1.84535,2.60019,2.27241,0.00119666,0.00119666,0.00119666
59,1008.81,1.8048,2.59477,2.00922,0.44172,0.31463,0.26213,0.14698,1.76695,2.75237,2.18957,0.0011884,0.0011884,0.0011884
60,1026.17,1.83128,2.55371,2.02745,0.43971,0.23683,0.22311,0.12001,1.77774,2.81271,2.21302,0.00118015,0.00118015,0.00118015
61,1042.72,1.80848,2.59859,2.05916,0.47752,0.30366,0.30735,0.17087,1.80339,2.55294,2.22641,0.0011719,0.0011719,0.0011719
62,1058.53,1.81043,2.4953,2.04273,0.47295,0.36902,0.32317,0.18572,1.73701,2.479,2.18265,0.00116365,0.00116365,0.00116365
63,1075.57,1.77509,2.57679,2.0133,0.41847,0.41171,0.33179,0.19235,1.70712,2.46313,2.14085,0.0011554,0.0011554,0.0011554
64,1092.11,1.7808,2.49235,1.98842,0.38306,0.4078,0.32251,0.17354,1.76363,2.46126,2.18879,0.00114715,0.00114715,0.00114715
65,1107.54,1.74606,2.42689,1.98328,0.50701,0.31987,0.33384,0.19403,1.75654,2.42622,2.21622,0.00113889,0.00113889,0.00113889
66,1125.21,1.74507,2.45105,2.01006,0.52188,0.31074,0.30567,0.17431,1.68087,2.40225,2.1264,0.00113064,0.00113064,0.00113064
67,1142.31,1.75832,2.39737,1.98716,0.56753,0.36737,0.34464,0.20795,1.72592,2.42205,2.14728,0.00112239,0.00112239,0.00112239
68,1158.54,1.74232,2.42443,2.00249,0.42911,0.35073,0.30077,0.16343,1.75922,2.63175,2.22496,0.00111414,0.00111414,0.00111414
69,1174.76,1.71049,2.466,1.97266,0.40129,0.34951,0.33313,0.18332,1.7543,2.55951,2.18642,0.00110589,0.00110589,0.00110589
70,1191.14,1.70918,2.34339,1.94487,0.45964,0.37341,0.32848,0.19516,1.69468,2.30181,2.11023,0.00109764,0.00109764,0.00109764
71,1207.64,1.73787,2.38641,1.95847,0.44981,0.28877,0.28579,0.16521,1.79284,2.52012,2.23283,0.00108938,0.00108938,0.00108938
72,1225.19,1.72932,2.39778,1.96497,0.49201,0.33465,0.33671,0.18707,1.66758,2.48843,2.05625,0.00108113,0.00108113,0.00108113
73,1241.41,1.70043,2.36485,1.92642,0.43822,0.42926,0.35718,0.19961,1.61501,2.5552,2.07192,0.00107288,0.00107288,0.00107288
74,1257.96,1.68502,2.2973,1.94829,0.4844,0.33512,0.31832,0.18615,1.80026,2.46141,2.23385,0.00106463,0.00106463,0.00106463
75,1274.14,1.72802,2.35539,1.92222,0.47365,0.34561,0.32609,0.18925,1.68131,2.5278,2.16193,0.00105638,0.00105638,0.00105638
76,1291.43,1.68468,2.28611,1.88029,0.54031,0.30426,0.34213,0.1966,1.79464,2.31635,2.13708,0.00104813,0.00104813,0.00104813
77,1308.16,1.69847,2.31006,1.88921,0.51152,0.35951,0.38035,0.21223,1.78424,2.2447,2.13917,0.00103987,0.00103987,0.00103987
78,1324.85,1.6673,2.26681,1.88256,0.46628,0.333,0.3277,0.18383,1.61343,2.32562,2.07638,0.00103162,0.00103162,0.00103162
79,1341.17,1.66534,2.36112,1.91414,0.40862,0.35512,0.34385,0.20067,1.64991,2.3004,2.09261,0.00102337,0.00102337,0.00102337
80,1357.03,1.68187,2.29331,1.885,0.52895,0.33395,0.33966,0.19385,1.72986,2.4063,2.11462,0.00101512,0.00101512,0.00101512
81,1374.12,1.62295,2.27767,1.87909,0.45776,0.41332,0.39882,0.22069,1.70046,2.16333,2.10612,0.00100687,0.00100687,0.00100687
82,1389.99,1.67261,2.32536,1.92485,0.5568,0.38707,0.36995,0.21368,1.77354,2.36049,2.13512,0.000998616,0.000998616,0.000998616
83,1406.86,1.64161,2.27146,1.86673,0.53176,0.36341,0.37916,0.23008,1.68307,2.22042,2.08362,0.000990365,0.000990365,0.000990365
84,1423.49,1.61953,2.16814,1.86583,0.56979,0.37816,0.37113,0.22687,1.67804,2.2393,2.09088,0.000982113,0.000982113,0.000982113
85,1439.03,1.5872,2.22944,1.84637,0.47993,0.4001,0.37646,0.23504,1.56614,2.22381,1.97135,0.000973861,0.000973861,0.000973861
86,1455.56,1.62424,2.17927,1.86675,0.43135,0.39561,0.39336,0.21864,1.673,2.19987,2.02377,0.00096561,0.00096561,0.00096561
87,1473.76,1.59499,2.15799,1.82018,0.4697,0.39122,0.36844,0.23058,1.69712,2.3397,2.10764,0.000957358,0.000957358,0.000957358
88,1489.99,1.56562,2.18874,1.84471,0.4987,0.37362,0.4152,0.24657,1.62333,2.2636,2.07933,0.000949106,0.000949106,0.000949106
89,1506.25,1.62191,2.11678,1.86221,0.46476,0.40951,0.39603,0.2439,1.66354,2.26369,2.04102,0.000940855,0.000940855,0.000940855
90,1522.32,1.59428,2.14523,1.82783,0.49355,0.37561,0.3795,0.22913,1.67019,2.29506,2.05806,0.000932603,0.000932603,0.000932603
91,1538.87,1.57039,2.0873,1.78962,0.53664,0.37883,0.39456,0.22906,1.67185,2.15798,2.10668,0.000924352,0.000924352,0.000924352
92,1555.71,1.60358,2.22894,1.85164,0.5434,0.35341,0.39103,0.2338,1.65171,2.29292,2.0616,0.0009161,0.0009161,0.0009161
93,1572.78,1.6206,2.18076,1.83902,0.50524,0.34951,0.41017,0.2399,1.57942,2.26855,1.9617,0.000907848,0.000907848,0.000907848
94,1589.04,1.54087,2.09795,1.81469,0.47302,0.43561,0.41443,0.2498,1.60154,2.14987,2.04467,0.000899597,0.000899597,0.000899597
95,1605.67,1.57312,2.15576,1.80977,0.53459,0.33951,0.4092,0.24512,1.68542,2.17783,2.11909,0.000891345,0.000891345,0.000891345
96,1622.89,1.54107,2.08481,1.78864,0.61883,0.34951,0.40664,0.2395,1.60508,2.17837,2.06357,0.000883093,0.000883093,0.000883093
97,1639.83,1.55281,2.09832,1.76333,0.45873,0.40965,0.42301,0.24757,1.66429,2.16255,2.06343,0.000874842,0.000874842,0.000874842
98,1656.18,1.52487,2.10773,1.77897,0.45859,0.39142,0.39051,0.23982,1.61269,2.16125,2.04463,0.00086659,0.00086659,0.00086659
99,1672.27,1.50541,2.10356,1.77699,0.35159,0.4178,0.35247,0.19743,1.73248,2.33257,2.12785,0.000858338,0.000858338,0.000858338
100,1688.84,1.54993,2.11763,1.78894,0.57722,0.37902,0.39365,0.23295,1.70687,2.27382,2.11505,0.000850087,0.000850087,0.000850087
